Date,Odegaard,Xhaka,Willock,Partey,Elneny,ESR
12/09/2020,0,0,0,0,0,0
19/09/2020,0,0,0,0,0,0
23/09/2020,0,0,0,0,0,0
28/09/2020,0,0,0,0,0,0
01/10/2020,0,0,0,0,0,0
04/10/2020,0,0,0,0,0,0
17/10/2020,0,0,0,0,0,0
22/10/2020,0,0,0,0,0,0
25/10/2020,0,0,0,0,0,0
29/10/2020,0,0,2,0,0,0
01/11/2020,0,0,0,0,0,0
05/11/2020,0,0,1,0,0,0
08/11/2020,0,0,0,0,0,0
22/11/2020,0,0,0,0,0,0
26/11/2020,0,0,0,0,0,1
29/11/2020,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,1
06/12/2020,0,0,0,0,0,0
10/12/2020,0,0,1,0,1,1
13/12/2020,0,0,0,0,0,0
16/12/2020,0,0,0,0,0,0
19/12/2020,0,0,0,0,0,0
22/12/2020,0,0,0,0,0,0
26/12/2020,0,1,0,0,0,1
29/12/2020,0,0,0,0,0,0
02/01/2021,0,0,0,0,0,1
09/01/2021,0,0,0,0,0,1
14/01/2021,0,0,0,0,0,0
18/01/2021,0,0,0,1,0,1
23/01/2021,0,0,0,0,0,0
26/01/2021,0,1,0,0,0,0
30/01/2021,0,0,0,0,0,0
02/02/2021,0,0,0,0,0,0
06/02/2021,0,0,1,0,0,0
14/02/2021,0,1,0,0,0,1
18/02/2021,0,0,0,0,0,0
21/02/2021,0,0,0,0,0,0
25/02/2021,0,0,0,0,0,0
28/02/2021,0,0,0,0,0,0
06/03/2021,0,0,0,0,0,0
11/03/2021,0,0,0,1,1,0
14/03/2021,1,0,0,0,0,0
18/03/2021,1,0,0,0,0,0
21/03/2021,0,0,0,0,0,0
04/04/2021,0,0,1,0,0,0
08/04/2021,0,0,0,0,0,0
11/04/2021,0,0,0,1,0,0
15/04/2021,0,0,0,0,0,1
17/04/2021,0,0,1,0,0,0
18/04/2021,0,0,0,0,0,0
23/04/2021,0,0,0,0,0,0
24/04/2021,0,0,1,0,0,0
29/04/2021,0,0,0,0,0,0
02/05/2021,0,0,0,0,1,0
06/05/2021,0,0,0,0,0,0
07/05/2021,0,0,1,0,0,0
,,,,,,
09/05/2021,0,0,0,0,0,1
12/05/2021,0,0,0,0,0,1
14/05/2021,0,0,1,0,0,0
19/05/2021,0,0,1,0,0,0
23/05/2021,1,0,1,0,0,0
